Species	Acetate Binary Phenotype	Formate Binary Phenotype	L-Lactate Binary Phenotype	D-Lactate Binary Phenotype
[Haemophilus] ducreyi	1	1	0	0
Abiotrophia defectiva	1	1	1	0
Achromobacter xylosoxidans	1	0	0	1
Acidaminococcus fermentans	1	1	1	1
Acinetobacter baumannii	1	0	0	1
Actinobacillus pleuropneumoniae	1	1	0	1
Actinomyces naeslundii	1	1	1	0
Actinomyces odontolyticus	1	1	1	0
Actinomyces turicensis	1	1	1	0
Adlercreutzia equolifaciens	1	0	0	0
Aerococcus viridans	1	1	1	0
Aeromonas hydrophila	1	1	0	1
Agathobaculum desmolans	1	1	1	0
Aggregatibacter aphrophilus	1	1	0	1
Akkermansia muciniphila	0	1	0	1
Alistipes onderdonkii	0	1	0	1
Alistipes putredinis	0	0	0	1
Anaerococcus hydrogenalis	1	0	1	0
Anaerococcus prevotii	1	0	1	0
Anaerococcus tetradius	1	1	1	0
Anaerofustis stercorihominis	0	1	0	1
Anaerostipes caccae	1	1	1	0
Anaerostipes hadrus	1	1	1	0
Anaerotruncus colihominis	0	0	1	0
Atopobium minutum	1	1	0	1
Bacillus amyloliquefaciens	1	0	1	0
Bacillus cereus	1	1	1	0
Bacillus endophyticus	1	0	1	0
Bacillus infantis	1	0	1	0
Bacillus licheniformis	1	1	1	0
Bacillus megaterium	1	0	1	0
Bacillus mycoides	1	1	1	0
Bacillus subtilis	1	0	1	0
Alistipes obesi	0	0	0	1
Bacteroides caccae	1	1	0	1
Bacteroides cellulosilyticus	1	1	0	1
Bacteroides coprocola	1	1	0	0
Bacteroides coprophilus	1	1	0	0
Bacteroides dorei	1	1	0	1
Bacteroides eggerthii	1	1	0	1
Bacteroides faecis	1	1	0	1
Bacteroides finegoldii	1	1	0	1
Bacteroides fragilis	1	1	0	1
Bacteroides galacturonicus	1	1	1	1
Bacteroides intestinalis	1	1	0	1
Bacteroides nordii	1	1	0	1
Bacteroides ovatus	1	1	0	1
[Bacteroides] pectinophilus	1	1	1	1
Bacteroides plebeius	1	1	0	0
Bacteroides propionicifaciens	1	1	0	1
Bacteroides pyogenes	0	1	0	1
Bacteroides salanitronis	1	1	0	0
Bacteroides salyersiae	1	1	0	1
Bacteroides sartorii	1	1	0	1
Bacteroides stercoris	1	1	0	1
Bacteroides thetaiotaomicron	1	1	0	1
Bacteroides uniformis	1	1	0	1
Campylobacter ureolyticus	1	0	0	0
Bacteroides vulgatus	1	1	0	1
Bacteroides xylanisolvens	1	1	0	1
Bacteroides xylanolyticus	1	1	1	0
Barnesiella intestinihominis	1	0	0	0
Bifidobacterium adolescentis	1	1	1	0
Bifidobacterium angulatum	1	1	1	0
Bifidobacterium animalis	1	1	1	0
Bifidobacterium bifidum	1	1	1	0
Bifidobacterium breve	1	1	1	0
Bifidobacterium catenulatum	1	1	1	0
Bifidobacterium dentium	1	1	1	0
Bifidobacterium gallicum	1	1	1	0
Bifidobacterium longum	1	1	1	0
Bifidobacterium longum	1	1	1	0
Bifidobacterium pseudocatenulatum	1	1	1	0
Bifidobacterium scardovii	1	1	1	0
Bilophila wadsworthia	1	1	0	0
Blautia hansenii	0	1	1	0
Blautia hydrogenotrophica	1	0	1	1
Blautia producta	1	1	1	1
Blautia wexlerae	1	1	1	1
Brachyspira pilosicoli	1	0	1	0
Brevibacillus brevis	0	0	0	0
Brevibacterium ravenspurgense	0	0	0	0
