Species	Pathway Variant	Binary Phenotype
[Haemophilus] ducreyi	-1	0
Abiotrophia defectiva	-1	0
Achromobacter xylosoxidans	-1	0
Acidaminococcus fermentans	P13 	1
Acinetobacter baumannii	-1	0
Actinobacillus pleuropneumoniae	-1	0
Actinomyces naeslundii	-1	0
Actinomyces odontolyticus	-1	0
Actinomyces turicensis	-1	0
Adlercreutzia equolifaciens	-1	0
Aerococcus viridans	-1	0
Aeromonas hydrophila	-1	0
Agathobaculum desmolans	P12	1
Aggregatibacter aphrophilus	-1	0
Akkermansia muciniphila	-1	0
Alistipes onderdonkii	-1	0
Alistipes putredinis	P4 	1
Anaerococcus hydrogenalis	P1 	1
Anaerococcus prevotii	P1 	1
Anaerococcus tetradius	P1 	1
Anaerofustis stercorihominis	P12 	1
Anaerostipes caccae	P12 	1
Anaerostipes hadrus	P1 	1
Anaerotruncus colihominis	P1 	1
Atopobium minutum	-1	0
Bacillus amyloliquefaciens	-1	0
Bacillus cereus	-1	0
Bacillus endophyticus	-1	0
Bacillus infantis	-1	0
Bacillus licheniformis	-1	0
Bacillus megaterium	-1	0
Bacillus mycoides	-1	0
Bacillus subtilis	-1	0
Alistipes obesi	-1	0
Bacteroides caccae	-1	0
Bacteroides cellulosilyticus	-1	0
Bacteroides coprocola	-1	0
Bacteroides coprophilus	-1	0
Bacteroides dorei	-1	0
Bacteroides eggerthii	-1	0
Bacteroides faecis	-1	0
Bacteroides finegoldii	-1	0
Bacteroides fragilis	-1	0
Bacteroides galacturonicus	-1	0
Bacteroides intestinalis	-1	0
Bacteroides nordii	-1	0
Bacteroides ovatus	-1	0
[Bacteroides] pectinophilus	-1	0
Bacteroides plebeius	-1	0
Bacteroides propionicifaciens	-1	0
Bacteroides pyogenes	-1	0
Bacteroides salanitronis	-1	0
Bacteroides salyersiae	-1	0
Bacteroides sartorii	-1	0
Bacteroides stercoris	-1	0
Bacteroides thetaiotaomicron	-1	0
Bacteroides uniformis	-1	0
Campylobacter ureolyticus	-1	0
Bacteroides vulgatus	-1	0
Bacteroides xylanisolvens	-1	0
Bacteroides xylanolyticus	P2 	1
Barnesiella intestinihominis	-1	0
Bifidobacterium adolescentis	-1	0
Bifidobacterium angulatum	-1	0
Bifidobacterium animalis	-1	0
Bifidobacterium bifidum	-1	0
Bifidobacterium breve	-1	0
Bifidobacterium catenulatum	-1	0
Bifidobacterium dentium	-1	0
Bifidobacterium gallicum	-1	0
Bifidobacterium longum	-1	0
Bifidobacterium longum	-1	0
Bifidobacterium pseudocatenulatum	-1	0
Bifidobacterium scardovii	-1	0
Bilophila wadsworthia	-1	0
Blautia hansenii	-1	0
Blautia hydrogenotrophica	-1	0
Blautia producta	P1 	1
Blautia wexlerae	-1	0
Brachyspira pilosicoli	P1 	1
Brevibacillus brevis	-1	0
Brevibacterium ravenspurgense	-1	0
Bulleidia extructa	-1	0
-	-1	0
Butyricicoccus pullicaecorum	P1 	1
Butyricimonas synergistica	P14 	1
Butyrivibrio crossotus	P1 	1
Caloramator proteoclasticus	P14 	1
Campylobacter coli	-1	0
Campylobacter concisus	-1	0
Campylobacter jejuni	-1	0
Campylobacter rectus	-1	0
Campylobacter ureolyticus	-1	0
Capnocytophaga ochracea	-1	0
Capnocytophaga sputigena	-1	0
