Species	Pathway Variant	Binary Phenotype
[Haemophilus] ducreyi	-1	0
Abiotrophia defectiva	-1	0
Achromobacter xylosoxidans	-1	0
Acidaminococcus fermentans	-1	0
Acinetobacter baumannii	-1	0
Actinobacillus pleuropneumoniae	-1	0
Actinomyces naeslundii	-1	0
Actinomyces odontolyticus	-1	0
Actinomyces turicensis	-1	0
Adlercreutzia equolifaciens	-1	0
Aerococcus viridans	-1	0
Aeromonas hydrophila	-1	0
Agathobaculum desmolans	-1	0
Aggregatibacter aphrophilus	-1	0
Anaerococcus prevotii	-1	0
Anaerococcus tetradius	-1	0
Anaerofustis stercorihominis	-1	0
Anaerostipes hadrus	-1	0
Anaerotruncus colihominis	-1	0
Atopobium minutum	-1	0
Bacillus amyloliquefaciens	-1	0
Bacillus cereus	-1	0
Bacillus licheniformis	-1	0
Bacillus mycoides	-1	0
Bacillus subtilis	-1	0
Bacteroides galacturonicus	-1	0
[Bacteroides] pectinophilus	-1	0
Campylobacter ureolyticus	-1	0
Bifidobacterium adolescentis	-1	0
Bifidobacterium angulatum	-1	0
Bifidobacterium animalis	-1	0
Bifidobacterium bifidum	-1	0
Bifidobacterium breve	-1	0
Bifidobacterium catenulatum	-1	0
Bifidobacterium dentium	-1	0
Bifidobacterium gallicum	-1	0
Bifidobacterium longum	-1	0
Bifidobacterium longum	-1	0
Bifidobacterium pseudocatenulatum	-1	0
Bifidobacterium scardovii	-1	0
Bilophila wadsworthia	-1	0
Blautia hansenii	-1	0
Blautia hydrogenotrophica	-1	0
Blautia producta	-1	0
Brachyspira pilosicoli	-1	0
Brevibacterium ravenspurgense	-1	0
Bulleidia extructa	-1	0
-	-1	0
Butyricicoccus pullicaecorum	-1	0
Butyrivibrio crossotus	-1	0
Caloramator proteoclasticus	-1	0
Campylobacter coli	-1	0
Campylobacter concisus	-1	0
Campylobacter jejuni	-1	0
Campylobacter rectus	-1	0
Campylobacter ureolyticus	-1	0
Capnocytophaga ochracea	-1	0
Capnocytophaga sputigena	-1	0
Catenibacterium mitsuokai	-1	0
Cetobacterium somerae	-1	0
Christensenella minuta	-1	0
Kallipyga massiliensis	-1	0
Clostridium acetobutylicum	-1	0
Gottschalkia acidurici	-1	0
Intestinibacter bartlettii	-1	0
Clostridium butyricum	-1	0
Clostridium cellulovorans	-1	0
[Clostridium] clariflavum	-1	0
Hungatella hathewayi	-1	0
[Clostridium] hylemonae	-1	0
[Clostridium] innocuum	-1	0
[Clostridium] leptum	-1	0
Tyzzerella nexilis	-1	0
Erysipelatoclostridium ramosum	-1	0
[Clostridium] scindens	-1	0
Clostridium septicum	-1	0
[Clostridium] spiroforme	-1	0
Collinsella aerofaciens	-1	0
Collinsella intestinalis	-1	0
Collinsella stercoris	-1	0
Collinsella tanakaei	-1	0
Comamonas testosteroni	-1	0
Coprobacillus cateniformis	-1	0
Coprococcus comes	-1	0
Coprococcus eutactus	-1	0
Corynebacterium aurimucosum	-1	0
Desulfitobacterium hafniense	-1	0
Halodesulfovibrio aestuarii	-1	0
Desulfovibrio piger	-1	0
Dorea formicigenerans	-1	0
Dorea longicatena	-1	0
Dyadobacter fermentans	-1	0
Edwardsiella tarda	-1	0
Eggerthella lenta	-1	0
Eggerthia catenaformis	-1	0
Klebsiella aerogenes	-1	0
