SampleID	Reads_raw	Reads_filtered	Quality_raw	Quality_filtered	Length_raw	Length_filtered	SD_raw	SD_filtered
1	174189	50000	20.6	21.5	1486.5	1489.7	329.4	68.3
2	224374	50000	20.6	21.6	1544.7	1496.7	426.6	73.7
3	254269	50000	20.6	21.5	1516.8	1482.4	399.8	73
4	206615	50000	20.5	21.6	1553.4	1496.9	476.2	63.3
5	204658	50000	20.6	21.4	1480.4	1487.7	326.2	66.2
6	264269	50000	20.6	21.5	1498.5	1516.5	287.4	65
7	180475	50000	20.5	21.5	1482.9	1513.1	274.9	66.8
8	141856	50000	20.3	21.3	1457.7	1489.4	297.5	75.9
9	149445	50000	20.6	21.3	1506.9	1493.6	431.9	69.3
10	203910	50000	20.8	21.5	1522.3	1510.3	330.4	68.9
11	232529	50000	20.8	21.5	1550.8	1526.9	537.3	57.8
12	274787	50000	21.9	22.4	1556.7	1534.3	410.5	52.9
13	229769	50000	21	21.7	1480	1477.9	271.7	70
14	225695	50000	20.8	21.5	1477.6	1483.7	967.2	74.1
15	174528	50000	20.5	21.3	1496.7	1482.7	687.5	68
16	223367	50000	20.5	21.6	1464.2	1487.6	295.9	66.9
17	175732	50000	20.4	21.4	1473.8	1478.3	348.2	69.4
18	200596	50000	20.5	21.4	1524	1472.4	449.6	65.5
19	149470	50000	20.1	21.3	1506.7	1503.2	416.1	66.7
20	168313	50000	20.5	21.4	1463.4	1477.4	325.7	66.2
21	174996	50000	20.7	21.5	1475.7	1494.7	273.2	67.1
22	149973	50000	20.9	21.7	1482.2	1480.1	313.1	70.1
23	131198	50000	20.8	21.7	1506.5	1479.3	388.3	64.5
24	223328	50000	21.2	21.8	1514.2	1490.8	1130.6	72.3
25	189867	50000	20.7	21.5	1521.3	1510.7	321.6	60.9
26	13140	10893	13.1	13.7	1426.2	1460	322.2	44.3
27	14219	11219	11.3	12.2	1477.5	1475.1	485.8	26.2
28	13620	11347	12.2	13	1447.7	1477.3	312.5	25.4
29	19275	17061	13.3	13.9	1469.7	1486.7	272.7	42.6
30	24831	19711	11.3	12.2	1478.4	1476.9	520.6	26.6
31	17596	14929	13.2	13.8	1428.4	1453.8	287.7	41.4
32	12076	10219	13.1	13.7	1415.9	1456.4	261.7	45.9
33	25178	20371	12.1	13	1443.6	1477.3	352.8	31.2
34	20133	15607	11.3	12.2	1461.9	1476.2	446.2	25.9
35	9808	7361	13.2	13.7	1323.1	1448.8	409.6	46.9
36	11684	8683	11.2	12.2	1469.6	1482.1	478.5	33.7
37	25790	20689	11.3	12.2	1479	1468	433.7	30.8
38	11637	9583	11.4	12.3	1491.6	1476.4	425.5	26.4
39	17569	13918	11.3	12.2	1465.6	1475.7	389.9	29.1
40	16634	14665	13.2	13.8	1441.5	1459.8	279.9	42.3
41	21562	17533	11.4	12.3	1480.1	1480.2	399.4	27.5
42	20630	18114	13.2	13.9	1468.7	1479.5	279.2	45
43	25544	20343	11.3	12.2	1474.8	1473.3	434.4	27.8
44	21489	18585	13.1	13.7	1443.4	1464.1	276.7	41.9
45	21658	16927	11.3	12.2	1463.4	1478	427.6	30.7
46	27327	21470	11.3	12.2	1485.6	1485.2	486.7	31.1
47	30459	24407	11.3	12.2	1479.5	1474.9	445	28.1
48	11866	10399	13.1	13.8	1451	1473	258.4	45.2
49	20695	17908	13.2	13.8	1429.9	1457.2	254	42.7
50	19645	17112	13.2	13.8	1450.6	1463.5	286.1	37.1
51	17631	13279	11.2	12.2	1468.8	1471.6	565.9	27.7
52	23724	19176	11.4	12.3	1488.9	1483.3	469	30.2
53	15429	11637	11.3	12.2	1449.1	1470.8	466.2	31.5
54	15920	13745	13.2	13.8	1442	1456.6	284	42.3
55	13958	11738	12.1	12.9	1467.6	1479.5	330.8	26.3
56	20402	17909	13.1	13.8	1445	1466.8	255.4	36.6
57	14043	12154	13.1	13.7	1431.3	1458.1	273.1	43.4
58	28598	24305	13	13.6	1416.6	1459.6	304.6	40.3
59	35509	27463	11.3	12.2	1454.1	1480.1	471.4	30.1
60	23075	20238	13.2	13.8	1452.1	1460.8	266.1	45.3
61	21369	18721	13.1	13.8	1439.7	1458	258.5	45
62	21993	18133	12.2	13	1449.4	1480.6	344.8	31.1
63	11889	9382	11.2	12.2	1482.2	1477.6	451	27.2
64	10167	8091	11.4	12.3	1481.6	1481.3	509.5	27.9
65	15272	11988	11.4	12.4	1463.9	1487.7	460.6	24.3
66	24549	20661	12.3	13.1	1456.3	1477.7	340.3	30.2
67	11043	9564	13.2	13.9	1426.8	1456.6	265.8	44
68	18635	14662	11.2	12.2	1480.6	1484.3	469.6	27.1
69	19675	15340	11.3	12.2	1490.5	1488.6	466.5	33.5
70	14816	12772	13.3	13.8	1444.4	1460.9	320.5	43.7
71	36097	31315	13.1	13.7	1440.5	1460.5	258.8	41.3
72	20260	17559	13.2	13.8	1439.8	1455	295.2	40.1
73	18256	15765	13.1	13.7	1436	1456.8	276.5	41.5
74	13355	10459	11.3	12.2	1466.7	1477	460.4	28.1
75	51608	26814	10.7	12	1251	1470.5	434.3	52.3
76	30920	18142	11	12.1	1264.2	1423.8	401.6	51.9
77	37537	25069	10.9	12.1	1373.9	1448.8	355	55.5
78	21202	6427	10.4	11.9	1045.6	1434.1	484	59.9
79	29746	18996	10.9	12.1	1332.9	1438.8	353.8	53.9
80	33303	19687	10.9	12	1305.2	1474.2	411.5	51.9
81	24123	12550	10.8	12	1232.1	1425.2	417	53.9
82	45330	27552	10.9	12	1311.7	1432.4	360.3	48.2
83	8518	5333	10.9	12	1315	1427.1	368.7	47.9
84	18683	10686	10.7	12	1305.6	1457.8	398.8	42.3
85	48759	24136	10.7	12	1204.6	1435.4	431.4	53.3
86	17365	9412	10.8	12	1277.5	1415.8	428.4	55.1
87	26259	15240	10.8	12	1307.8	1425.5	412.9	55.2
88	13744	8853	10.9	12.1	1345.8	1422.1	372.1	52.1
89	16197	6771	10.6	11.9	1127.8	1457.8	466.1	59.3
90	11945	7167	10.8	12	1294.5	1429.3	376.3	55.7
91	17636	7377	10.7	11.9	1111.1	1432.3	499.6	63.5
92	34159	21105	10.9	12	1318.4	1417.1	361.1	52.5
93	18130	10459	10.8	12	1327.3	1410.1	404.4	53.1
94	8265	4658	10.8	12	1302.4	1436.5	434.7	54.4
95	18543	9845	10.7	12	1233.1	1421.1	412.8	55
96	21730	14294	11	12.1	1322.6	1419.1	339.1	46.7
97	10176	6389	11	12	1322.3	1424.2	389.9	46
98	25763	15615	11	12.1	1274.5	1421.5	385.1	50.2
99	24723	14660	11.2	12.1	1252.6	1445.6	432.6	62.3
